	Control_1a	Control_1b	Control_2a	Control_2b	Control_3a	Control_3b	PB_1a	PB_1b	PB_2a	PB_2b	PB_3a	PB_3b	Standard_1a	Standard_2a	Standard_2b	Standard_3a	Styrofoam_1a	Styrofoam_1b	Styrofoam_2a	Styrofoam_2b	Styrofoam_3a	Styrofoam_3b
Mealworm_MAG_0011	0.0011241423028768	0.111631632280546	8.52946309193289e-06	5.22307507855743e-06	1.44510736405337e-05	0.000707522205623709	0.00213842015631687	3.01505683084684e-05	1.27762086048001e-06	4.38953827411957e-06	4.27375427878723e-06	6.95959901421233e-06	1.79626225466814e-06	0	5.27968374006208e-05	0	7.26987892198866e-06	0.000127305284088998	6.71078267904116e-07	0.000102806509103187	8.83684842970688e-06	0.000164971727762562
Mealworm_MAG_0012	0.0318259332053136	0.33176440087551	0.00164502289013643	0.00831504557373996	0.00255944592909928	0.0036427681337193	0.0234444366225979	0.0238694641598648	0.00359199027729887	0.00360944998684758	0.00248862481263725	0.00451039606048386	0.00351437262035959	0.00137106418539017	0.000570205367432764	0.00302793270357243	0.00123053343889725	0.0194436437810812	0.00285229072177275	0.00366523964874933	0.00162661482313245	0.00574409472324603
Mealworm_MAG_0013	2.66689573434229	1.17402921787953	6.21932713279645	1.9203137129428	4.41224819439106	1.65693165179716	3.98729818130661	3.82723200810317	3.89819961363719	0.113947820772341	0.712544767615278	0.146646729895191	1.88653151847539	0.00508567833265491	0.000385437144480962	3.79297670390425	11.2126140297156	1.70023605451531	1.43156594674289	0.547427315316526	5.16859492260327	0.85694056049012
Mealworm_MAG_0014	3.24451959611674	3.90794857134781	0.228277567957773	1.06837932445058	3.71204307943498	0.736017593062834	4.84983870592507	0.507532951114067	2.12452947762223	5.69978759210737	1.39341866987767	5.1475407159161	10.4060367576671	2.05444051687953	0.000762337522064325	4.90506961631083	2.52688088598148	8.68126340500096	2.73460211071044	1.85279154575364	2.51307477213034	3.32593958305188
Mealworm_MAG_0015	0.266356527555669	0.458243041763098	0.471986102522286	0.184843179816751	0.692918053140949	0.0782649084011443	0.127555623538807	0.0771983965976166	0.515173516030014	0.391924045485746	0.24288493226939	0.121583088734173	0.064222827444819	0.000968386086830829	0.129434483324133	0.2179969379523	0.19965460479016	0.179269271546122	0.860742947094496	0.305372674671002	0.0380344076312287	0.0162530441300369
Mealworm_MAG_0016	2.11384043695307	2.11526562590385	0.016154289043568	1.93897337522169	1.22753792043015	0.60400752986368	1.73307912321253	1.74515228386651	1.62575853376747	5.37745003165688	1.24956857081076	0.556347560641136	0.0259066607175423	2.1695078011387	15.2201503999568	0.453806066145301	0.0958227548087948	2.44564177255274	0.575692344367785	1.71370930242848	0.968807087834008	0.0990254091648384
Mealworm_MAG_0017	0.036623900794776	0.00551063230935961	3.64933591352583	1.31475285562605	0.0518051571266111	0.0588586946350273	0.0631173018107091	0.15875942623515	0.106993602347344	0.805960929118391	0.0960506379731955	0.498753822496366	2.29203344126796e-06	2.68645743116529	0.0526839353997827	0.000305730054340221	2.74823933383899	0.0294123033060132	1.10170761803938	0.58798867605199	0.0830970380035558	0.00301103531173756
Mealworm_MAG_0018	0.0036449545134967	0.00277111612757912	0.0203929421838916	0.0300355326613378	0.00341384112300883	0.00275644379836156	0.00376990051563951	0.00273773175712128	0.0127734808097962	0.028428815868353	0.00386732109348738	0.0033579461164248	0.00446707562731583	0.152220613696278	0.0123259806800754	0.00382319107766044	0.0125278094538445	0.00284809436816065	0.0244735153749923	0.0385859836997209	0.0020571205278747	0.00187092526746856
Mealworm_MAG_0019	0.0476320301013895	2.48021034151769	0.109639975606591	1.93144918135751	0.0234071389251796	0.0095005934729426	0.153069082800518	0.053856175894221	0.00863393364085681	0.0091345672073467	0.00419913377833751	0.0361191971303897	0.0139553303175535	0.0228933822633711	0.000456287658529403	0.00838960215515287	0.314708220120421	0.0120140673590445	0.00961055211304295	0.570278463365739	0.00494643359541277	0.00770868346575008
Mealworm_MAG_0020	0.0588976965448391	0.0336733662097597	0.0223196532857068	0.0402216272615071	0.340102934473072	0.0869357349486392	0.0834012909906978	0.19133343091805	0.0448077723330063	0.19627808295391	0.852057669154045	0.0744841087284887	0.00420252650508923	0.00214589641597472	0.000679127245620103	0.00184756490832506	0.0106057667467609	0.0759158433061681	0.144260773209059	0.0495571392680083	0.0680122519613694	0.166611552067785
Mealworm_MAG_0021	0.259528624802463	1.44202733569559	0.0646959279353775	0.194796007442601	0.287529208672476	0.331914942871963	0.580143642117276	0.31145193690823	0.0729237130049617	0.123758786860774	0.300719439403672	0.15473744922812	0.0558772877924751	0.0127479874854896	0.00235997281405631	0.42869225053229	0.318807472850546	1.84949662840817	0.0426151707437736	0.0622963746449047	0.402696184612989	0.243536173576277
Mealworm_MAG_0022	0.135414662695949	0.0697111211762532	0.00244081729339295	0.0101237923489137	0.000143013176002813	0.00130710915969081	0.0617395155613927	0.0927608613529822	0.014418050053476	0.0238165276869124	0.00528479227517243	0.002139942568871	2.90559665522462e-05	0.00174309849216595	0.362222894841706	0.0125880714005676	0.000625474680901303	0.000214879714815606	0.00529923678813592	0.00267331079117036	0.00255363928119137	0.000113748871809131
Mealworm_MAG_0023	4.76709948227216e-05	0.000129545762051136	0.0100839257489169	0.0275718708457471	0.00121503094747324	0.000520811282392232	0.000138424002787265	0.000190949176217728	0.00849605581888174	0.0241127630963487	0.0024662221716348	0.000703290913379469	0	0.70293755655118	0.0131178414100192	2.52822361986691e-05	0.00673674431806207	0.000145558260939142	0.0413268193824135	0.0415313453757951	5.17914299843884e-05	9.97806300771489e-05
Mealworm_MAG_0024	0.0506653916216121	0.109907890169536	8.26543275662412e-05	8.13438369059617e-05	4.44761617807574e-05	2.90646073116409e-05	0.123635768226079	0.0973135121381208	1.52548155432516e-05	5.01324179212812e-05	0.000108158660257951	0.000130066019414602	1.58524282385966e-05	1.13940627672609e-05	5.29897386825031e-05	8.93521515010884e-06	1.8870104822096e-05	0.000771909531518432	3.55345219445046e-05	0.00014570875265391	1.78402144838457e-05	1.84717976459551e-05
Mealworm_MAG_0025	1.26560738122175e-06	0.000106752373544284	0	0	1.49622540334362e-06	2.12168465448232e-06	0.00136403237177444	0.00172220781809668	6.17313372643839e-07	6.36273426686513e-06	0.00125498405210423	0.000720289983258878	8.67907487175348e-07	4.07879445285053e-07	0	0	0.000128405686546001	0.114515829252431	1.94548602804857e-06	2.10257979254313e-06	0.000881937841157518	0.000234441394861638
Mealworm_MAG_0026	4.00063452705734	1.09898155268505	5.98062059815198	2.60438984072446	4.50589235881067	2.07630024163822	3.13412537495739	3.01279305921733	2.30173755714625	1.05626140344582	1.70773568394445	1.52394768040801	5.76302848142753	4.4973410073017	0.101918796321806	17.53250681825	3.28309490045312	1.77971699291848	1.29766941204024	1.07417433637299	2.77336247356065	4.35938904978516
Mealworm_MAG_0027	0.356346449507139	0.406062105950202	0.0792268544025041	0.375153550687186	0.437564556186145	0.499262375357773	0.561301550264268	1.15007585515441	0.42584303746654	0.707822791312086	0.850356008470725	0.249029533949773	0.391677976279987	0.754041868933065	0.188066895787065	0.386394658156366	0.0993597563832398	0.13676337465606	0.332133577720932	0.181565208574789	0.199177813881939	0.169716710823562
Mealworm_MAG_0028	0.0232717089787865	0.12047173596248	0.0811057581062397	0.140150364392667	0.245436862943571	0.121511208142024	0.0511386972201151	0.0371079328584415	0.0060739796705639	0.0292770246442069	0.104792293577314	0.00204023356833907	0.00234412988047403	0.00113426557141822	8.94443453954787e-05	0.00123694397562712	0.0382097528370726	0.0378306607240313	0.00133916078473131	0.00272001375735772	0.00161697525986403	0.000859682462132119
Mealworm_MAG_0029	0.00238310693897618	0.002357341307636	0.00138850078003197	0.0132072294780387	0.00109878317466658	0.000824600213775645	0.13595635434592	0.0239754286393861	0.000979182409029864	0.00140261789262537	0.00161581461190202	0.00294012385456877	0.000917497620782082	0.000587796122388399	0.000275300011383851	0.000520665193213405	0.00296788230440528	0.00424137750384584	0.002111055026603	0.00112225372420042	0.000762819370576598	0.000367165642740441
Mealworm_MAG_0030	0.0956958691815802	0.0799927441231707	0.0195192236618276	0.0238285239550476	6.99084862489744e-05	3.40107003397731e-05	0.0942762566218633	0.0553081584937521	0.00347403233397816	0.00888067363194775	0.00362731110358915	0.0376777859818113	1.29419497813641e-06	6.08216356666055e-07	3.29678000867751e-05	2.36210145258473e-06	0.00133624630834477	0.0829571882800139	0.00208778502960797	0.0359069950656597	0.00214917921770514	0.000840184338977837
