	Superworm_1a	Superworm_1b	Superworm_2a	Superworm_2b	Superworm_3a	Superworm_3b	Mealworm_1a	Mealworm_2a	Mealworm_2b	Mealworm_3a
Superworm_MAG_0022	0.000678018	0.00050922	0.005156227	0.019516736	0.00012748	0.018373359	0	0	0	0
Superworm_MAG_0023	0.000126732	0.000310464	0.000164404	0.000461166	0.006398381	1.431092584	0	0	0	0
Superworm_MAG_0024	0.155386473	0.17471866	0.674253769	0.005106331	0.34574592	0.185880697	0	0	0	0
Superworm_MAG_0025	0.0364005	0.278052449	0.018194635	0.875791013	0.014445878	0.123838293	0	0	0	0
Superworm_MAG_0026	0.011229106	0.024544248	0.357193789	2.563601929	0.004236465	0.028366747	0	0	0	0
Superworm_MAG_0027	0.00435626	0.278535571	0.030890439	0.001002923	0.013965862	0.059205275	0	0	0	0
Superworm_MAG_0028	0.0007279	0.200076138	0.333598995	0.002951822	0.000178925	0.000167804	0	0	0	0
Superworm_MAG_0029	0.000261595	4.10E-05	7.67E-06	5.86E-06	0	5.66E-06	0	0	0	0
Superworm_MAG_0030	0.038923158	0.001678294	0.000131861	0.000332605	0.000140497	0.033963391	0	0	0	0
Superworm_MAG_0031	0.322108715	0.046622957	0.044890749	0.014197388	0.015595424	0.025576698	0	0	0	0
Superworm_MAG_0032	0.029568941	0.120314945	0.114273026	0.1276813	0.059917879	0.041183226	0	0	0	0
Superworm_MAG_0033	0.155884853	0.049211669	0.138521353	0.010879493	0.049811852	0.954631924	0	0	0	0
Superworm_MAG_0034	0.260842798	0.075277237	0.234500452	0.096176243	0.031154356	0.050546061	0	0	0	0
Superworm_MAG_0035	0.00156603	5.67E-05	0.201089634	0.005229061	7.16E-05	0.001045314	0	0	0	0
Superworm_MAG_0036	0.082145318	0.253871143	0.36084505	0.956419904	0.021591128	0.365795603	0	0	0	0
Superworm_MAG_0037	1.119772276	0.46871429	0.961755791	0.56287217	0.471317598	0.651763519	0	0	0	0
Superworm_MAG_0038	0.000377375	0.000179886	0.00125793	0.005482642	4.73E-05	0.150537616	0	0	0	0
Superworm_MAG_0039	0.039465278	0.024733962	0.211600667	1.405035389	0.013845574	0.533964983	0	0	0	0
Superworm_MAG_0040	0.200856911	0.729109895	0.065588772	0.175066489	0.019915803	0.065044287	0	0	0	0
Superworm_MAG_0041	0.000934423	0.000490686	0.001780618	0.00291651	0.000150094	0.020054475	0	0	0	0
Superworm_MAG_0042	0.006038081	0.027535997	0.010946919	0.01819603	0.008157797	0.019094272	0	0	0	0
Superworm_MAG_0043	0.003355725	0.010639586	0.003456378	0.009070014	0.001117231	0.003796667	0	0	0	0
Superworm_MAG_0044	0.111021145	0.046399921	0.000123752	3.22E-05	0.001584983	7.34E-05	0	0	0	0
Superworm_MAG_0045	0.002111073	0.002198448	0.001161995	0.001365142	0.000129116	0.013857127	0	0	0	0
Superworm_MAG_0046	0.112337614	0.114321648	0.038087758	0.096663774	0.01003271	0.044265194	0	0	0	0
Superworm_MAG_0047	0.123093461	0.402315317	0.388476345	0.30654733	0.014894087	0.213735699	0	0	0	0
Superworm_MAG_0048	4.43E-05	0	1.76E-05	0	0	0	0	0	0	0
Superworm_MAG_0049	8.278132944	1.637676414	0.872478953	0.207878576	0.186959043	0.337692517	0	0	0	0
Superworm_MAG_0050	0.04092713	0.117776636	0.088653256	0.030327939	0.009740002	0.078530604	0	0	0	0
Superworm_MAG_0051	0.399032563	0.755377025	1.514400429	2.234372884	0.060919032	1.019040848	0	0	0	0
Superworm_MAG_0052	0.001909546	3.88E-05	1.455102245	0.006160028	0.00033807	0.000341839	0	0	0	0
Superworm_MAG_0053	0.314779368	0.074193472	0.271000324	3.732674266	0.016813628	0.703996364	0	0	0	0
Superworm_MAG_0054	2.81E-06	5.04E-06	1.05E-06	2.82E-06	0.028786609	0.006602321	0	0	0	0
Superworm_MAG_0055	1.331155418	0.033971901	0.022873318	0.117243281	0.092286941	0.171513017	0	0	0	0
Superworm_MAG_0056	1.94E-05	3.25E-06	5.34E-06	0	1.17E-06	5.02E-06	0	0	0	0
Superworm_MAG_0057	0.007485433	0.010961344	0.040158827	0.432571759	0.005421812	0.022325467	0	0	0	0
Superworm_MAG_0058	0.059164323	0.152830499	0.26370256	1.33090379	0.017808864	1.111802244	0	0	0	0
Superworm_MAG_0059	0.387739261	0.151762082	0.435497759	0.584981451	1.393840313	0.255628425	0	0	0	0
Superworm_MAG_0060	0.000118521	5.86E-05	0.013602515	0.022626103	2.72E-05	0.216786116	0	0	0	0
Superworm_MAG_0061	0.582731886	0.082654802	0.053793485	0.028695689	0.002270726	0.007817836	0	0	0	0
Superworm_MAG_0062	0.444492	0.129128867	0.114161884	0.022718003	0.047396856	0.042599427	0	0	0	0
Superworm_MAG_0063	0.156850763	0.211231495	0.046027346	0.229136917	0.026785127	0.117408172	0	0	0	0
Superworm_MAG_0064	0.000320312	0.000540285	8.31E-05	0.000109267	3.16E-05	5.79E-05	0	0	0	0
Superworm_MAG_0065	0.084658705	0.130056188	0.300290063	0.088761527	0.210747222	0.102465412	0	0	0	0
Superworm_MAG_0066	4.69E-05	0.003615694	0.00012734	0.000101113	1.61E-05	0.011812458	0	0	0	0
Superworm_MAG_0067	0.055185656	0.025708235	0.048534188	0.083418282	0.008041354	0.110761291	0	0	0	0
Superworm_MAG_0068	0.000831425	0.137166317	3.39E-05	0	8.90E-06	0.039219792	0	0	0	0
Superworm_MAG_0069	0.001724172	0.003970679	0.009445063	0.534718898	7.72E-05	0.000750851	0	0	0	0
Superworm_MAG_0070	0.000760661	0.000501305	0.001226278	5.52E-05	0.000531076	0.034455894	0	0	0	0
Superworm_MAG_0071	0.059381819	0.575220283	0.178981733	0.05932526	0.181047849	0.216904187	0	0	0	0
Superworm_MAG_0072	0.001486331	0.105538093	1.573817555	0.005047886	0.00013735	0.129942974	0	0	0	0
Superworm_MAG_0073	0.07203456	0.015882127	0.073729384	0.079258086	0.034319265	0.026587349	0	0	0	0
Superworm_MAG_0074	5.753428284	1.05268396	0.173272144	0.166052589	0.225852951	0.518415155	0	0	0	0
Superworm_MAG_0075	0.027866229	0.29263548	0.037573035	0.069894202	0.000262029	0.003627106	0	0	0	0
Superworm_MAG_0076	0.007642573	0.019296986	0.003709177	0.013350767	0.001515826	0.014988278	0	0	0	0
Superworm_MAG_0077	0.000144972	2.88E-05	5.30E-06	3.54E-05	2.69E-06	1.57E-05	0	0	0	0
Superworm_MAG_0078	1.78E-05	0.000106962	1.25E-06	0	0.000251722	0.000720043	0	0	0	0
Superworm_MAG_0079	0.000191638	0.028507065	4.09E-05	1.73E-05	8.90E-07	0.010017785	0	0	0	0
Superworm_MAG_0080	0.884633989	0.509952449	0.0159347	0.136500223	0.01070188	0.127213146	0	0	0	0
Superworm_MAG_0081	0.000242032	0.000118518	0.000458321	8.05E-05	1.33E-05	9.65E-05	0	0	0	0
Superworm_MAG_0082	0.00234295	0.001529051	0.021251748	0.040655047	0.000688019	0.010600629	0	0	0	0
Superworm_MAG_0083	1.869736863	5.274787096	0.136370879	0.286597665	0.002095564	0.050619066	0	0	0	0
Superworm_MAG_0084	0.006953531	0.004904657	0.005827591	0.01282985	0.001876983	0.143631728	0	0	0	0
Superworm_MAG_0085	0.197590854	0.548815987	1.220824273	2.481917591	0.009627721	0.260874007	0	0	0	0
Superworm_MAG_0086	10.91830628	1.41591571	0.537104247	0.320268076	0.513262634	0.42044872	0	0	0	0
Superworm_MAG_0087	0.286749839	0.395727016	0.847098377	1.10673863	0.152482969	0.454010777	0	0	0	0
Superworm_MAG_0088	1.82E-05	6.17E-07	5.67E-06	0	3.12E-06	6.66E-07	0	0	0	0
Superworm_MAG_0089	0.142841274	0.060239682	0.017394559	0.154494457	0.001344922	0.102990062	0	0	0	0
Superworm_MAG_0090	0.795849572	0.57259114	0.180370562	0.404275791	0.06451131	0.161089447	0	0	0	0
Superworm_MAG_0091	0.305671993	0.235358491	0.131401397	0.211241497	0.003964374	0.064903748	0	0	0	0
Superworm_MAG_0092	0.583817398	0.20073525	0.403817641	0.610476893	0.284142899	0.274411913	0	0	0	0
Superworm_MAG_0093	0.589095489	0.187213669	7.047686881	2.981524878	25.41509814	6.66488961	0	0	0	0
Superworm_MAG_0094	3.62E-05	1.22E-05	0.00096508	0.000451764	1.68E-05	6.60E-05	0	0	0	0
Superworm_MAG_0095	0.227806824	0.390867713	0.03582765	0.396278242	0.146935679	0.412956509	0	0	0	0
Superworm_MAG_0096	0.000251697	2.79E-05	0.070223963	4.50E-06	8.39E-06	1.58E-05	0	0	0	0
Superworm_MAG_0097	0.001361552	0.000501612	0.011089065	0.039744636	0.00121347	0.002561168	0	0	0	0
Superworm_MAG_0098	0.007814242	0.00741947	0.030572971	0.292218274	0.003495301	0.023484859	0	0	0	0
Superworm_MAG_0099	0.198254067	0.203423672	0.218530609	1.122335997	0.1353155	0.171836966	0	0	0	0
Superworm_MAG_0100	0.442599123	0.032420125	0.099510549	0.034395987	0.010432717	0.006817118	0	0	0	0
Mealworm_MAG_0001	0	0	0	0	0	0	0	0.266632172	0.004677804	1.12E-06
Mealworm_MAG_0002	0	0	0	0	0	0	0.022425063	4.16E-06	0.001587073	3.23E-05
Mealworm_MAG_0003	0	0	0	0	0	0	0	0.019685712	0.006170221	6.40E-06
Mealworm_MAG_0004	0	0	0	0	0	0	0.5232577	5.155831329	1.48638232	0.490055493
Mealworm_MAG_0005	0	0	0	0	0	0	0.000237647	0.00028783	7.19E-05	0.000477043
Mealworm_MAG_0006	0	0	0	0	0	0	0.044394608	0.112471436	0.582695797	2.08E-05
Mealworm_MAG_0007	0	0	0	0	0	0	0.298473984	0.33129987	0.001188199	0.01234538
Mealworm_MAG_0008	0	0	0	0	0	0	0.042924313	0.008551524	0.012069451	0.016942534
Mealworm_MAG_0009	0	0	0	0	0	0	0.058715439	0.009340792	0.034851125	1.553892174
Mealworm_MAG_0010	0	0	0	0	0	0	0.009436496	0.007485796	0.000258718	0.016324923
Mealworm_MAG_0011	0	0	0	0	0	0	1.80E-06	0	5.28E-05	0
Mealworm_MAG_0012	0	0	0	0	0	0	0.003514373	0.001371064	0.000570205	0.003027933
Mealworm_MAG_0013	0	0	0	0	0	0	1.886531518	0.005085678	0.000385437	3.792976704
Mealworm_MAG_0014	0	0	0	0	0	0	10.40603676	2.054440517	0.000762338	4.905069616
Mealworm_MAG_0015	0	0	0	0	0	0	0.064222827	0.000968386	0.129434483	0.217996938
Mealworm_MAG_0016	0	0	0	0	0	0	0.025906661	2.169507801	15.2201504	0.453806066
Mealworm_MAG_0017	0	0	0	0	0	0	2.29E-06	2.686457431	0.052683935	0.00030573
Mealworm_MAG_0018	0	0	0	0	0	0	0.004467076	0.152220614	0.012325981	0.003823191
Mealworm_MAG_0019	0	0	0	0	0	0	0.01395533	0.022893382	0.000456288	0.008389602
Mealworm_MAG_0020	0	0	0	0	0	0	0.004202527	0.002145896	0.000679127	0.001847565
Mealworm_MAG_0021	0	0	0	0	0	0	0.055877288	0.012747987	0.002359973	0.428692251
Mealworm_MAG_0022	0	0	0	0	0	0	2.91E-05	0.001743098	0.362222895	0.012588071
Mealworm_MAG_0023	0	0	0	0	0	0	0	0.702937557	0.013117841	2.53E-05
Mealworm_MAG_0024	0	0	0	0	0	0	1.59E-05	1.14E-05	5.30E-05	8.94E-06
Mealworm_MAG_0025	0	0	0	0	0	0	8.68E-07	4.08E-07	0	0
Mealworm_MAG_0026	0	0	0	0	0	0	5.763028481	4.497341007	0.101918796	17.53250682
Mealworm_MAG_0027	0	0	0	0	0	0	0.391677976	0.754041869	0.188066896	0.386394658
Mealworm_MAG_0028	0	0	0	0	0	0	0.00234413	0.001134266	8.94E-05	0.001236944
Mealworm_MAG_0029	0	0	0	0	0	0	0.000917498	0.000587796	0.0002753	0.000520665
Mealworm_MAG_0030	0	0	0	0	0	0	1.29E-06	6.08E-07	3.30E-05	2.36E-06
Mealworm_MAG_0031	0	0	0	0	0	0	0.063664143	0.157774561	32.57527082	0.194262096
Mealworm_MAG_0032	0	0	0	0	0	0	0.002892012	0.001475011	0.084446241	0.000277633
Mealworm_MAG_0033	0	0	0	0	0	0	1.133836989	1.498662223	0.000260499	0.043588222
Mealworm_MAG_0034	0	0	0	0	0	0	0.283271143	2.361360713	0.155404166	3.77E-06
Mealworm_MAG_0035	0	0	0	0	0	0	0.000565555	0.277730926	1.923504342	0.002415106
Mealworm_MAG_0036	0	0	0	0	0	0	1.919395717	1.27032112	0.030502797	0.909846108
Mealworm_MAG_0037	0	0	0	0	0	0	1.089536854	0.010235711	0.00011248	0.430130039
Mealworm_MAG_0038	0	0	0	0	0	0	0.002370048	0.002305742	0.003218515	0.001380767
Mealworm_MAG_0039	0	0	0	0	0	0	4.68E-05	0.003612417	1.431319665	0.025726999
Mealworm_MAG_0040	0	0	0	0	0	0	0.001135217	0.001144176	0.000205431	0.000325632
Mealworm_MAG_0041	0	0	0	0	0	0	7.29E-07	0.244415915	0.022277291	6.32E-06
Mealworm_MAG_0042	0	0	0	0	0	0	0.001632268	0.000736655	0.000152874	0.007921068
Mealworm_MAG_0043	0	0	0	0	0	0	0.267279862	0.200693033	0.000189359	0.10236629
Mealworm_MAG_0044	0	0	0	0	0	0	0.004697902	0.000738188	4.15E-05	0.002171763
Mealworm_MAG_0045	0	0	0	0	0	0	0.960343057	0.317877996	0.0005498	0.004611876
Mealworm_MAG_0046	0	0	0	0	0	0	0	0	2.53E-06	5.89E-07
Mealworm_MAG_0047	0	0	0	0	0	0	0.000954125	0.01873395	7.112706771	0.003020423
Mealworm_MAG_0048	0	0	0	0	0	0	3.603800196	9.042231229	0.119288619	2.599751029
Mealworm_MAG_0049	0	0	0	0	0	0	0.017378892	0.034164729	0.001512609	0.319744378
Mealworm_MAG_0050	0	0	0	0	0	0	0.01388564	0.02150309	0.017730628	0.001190148
Mealworm_MAG_0051	0	0	0	0	0	0	3.56504528	0.028670334	0.000415888	0.060242568
Mealworm_MAG_0052	0	0	0	0	0	0	4.06E-05	5.38E-07	3.922794198	3.66E-06
Mealworm_MAG_0053	0	0	0	0	0	0	2.62E-06	0.766017705	0.053908092	5.77E-05
