	Superworm_1a	Superworm_1b	Superworm_2a	Superworm_2b	Superworm_3a	Superworm_3b	Mealworm_1a	Mealworm_2a	Mealworm_2b	Mealworm_3a
Superworm_MAG_0030	2.284562842	0.060498177	0.004135532	0.019483886	0.004007622	1.132965809	0	0	0	0
Superworm_MAG_0031	18.9059069	1.680637546	1.407900211	0.831678091	0.444853372	0.853198797	0	0	0	0
Superworm_MAG_0032	1.735524745	4.337043956	3.58392366	7.479526504	1.709134071	1.373808256	0	0	0	0
Superworm_MAG_0033	9.149533621	1.773953947	4.344419429	0.637316947	1.420863602	31.84503367	0	0	0	0
Superworm_MAG_0034	15.30995414	2.713550555	7.354594059	5.633971134	0.888665824	1.686137844	0	0	0	0
Superworm_MAG_0035	0.091916847	2.04E-03	6.306736788	0.306316589	2.04E-03	0.034870046	0	0	0	0
Superworm_MAG_0036	4.821452081	9.151400987	11.31711619	56.02674801	0.615878484	12.20237141	0	0	0	0
Superworm_MAG_0037	65.72411553	16.89594322	30.16336799	32.97285753	13.4441502	21.74181555	0	0	0	0
Superworm_MAG_0038	0.022149716	0.006484427	0.039452225	0.321171277	1.35E-03	5.021700332	0	0	0	0
Superworm_MAG_0039	2.316382131	0.89159564	6.636392361	82.30648835	0.394939585	17.81223992	0	0	0	0
Superworm_MAG_0040	11.78913169	26.28253426	2.057048457	10.25533453	0.568090493	2.169776075	0	0	0	0
Superworm_MAG_0041	0.054845192	0.017687967	0.055845191	0.17084815	0.004281373	0.668986041	0	0	0	0
Superworm_MAG_0042	0.354400213	0.992601787	0.343326184	1.06591716	0.23269797	0.636955165	0	0	0	0
Superworm_MAG_0043	0.196961527	0.383529678	0.10840174	0.531318291	0.031868577	0.126650896	0	0	0	0
Superworm_MAG_0044	6.516295068	1.672597672	0.003881211	1.89E-03	0.04521102	2.45E-03	0	0	0	0
Superworm_MAG_0045	0.123907699	0.079248389	0.036443433	0.079969547	0.003682983	0.462252167	0	0	0	0
Superworm_MAG_0046	6.593564137	4.121001032	1.19453927	5.662530532	0.28617913	1.476617907	0	0	0	0
Superworm_MAG_0047	7.224869757	14.50243122	12.18371135	17.95743683	0.424848008	7.129889918	0	0	0	0
Superworm_MAG_0048	2.60E-03	0	5.52E-04	0	0	0	0	0	0	0
Superworm_MAG_0049	485.8782251	59.03401771	27.36339512	12.17745526	5.332933601	11.26489624	0	0	0	0
Superworm_MAG_0050	2.402184335	4.245544453	2.780415578	1.776600203	0.277829749	2.619658599	0	0	0	0
Superworm_MAG_0051	23.42088908	27.22939666	47.49585898	130.8887927	1.737691568	33.99361502	0	0	0	0
Superworm_MAG_0052	0.112079237	1.40E-03	45.63610106	0.360852315	0.009643315	0.011403216	0	0	0	0
Superworm_MAG_0053	18.47571689	2.674483617	8.499332756	218.6587707	0.479602165	23.48422188	0	0	0	0
Superworm_MAG_0054	1.65E-04	1.82E-04	3.29E-05	1.65E-04	0.821126766	0.220243142	0	0	0	0
Superworm_MAG_0055	78.13107571	1.224599553	0.717371618	6.868070952	2.632448908	5.72140703	0	0	0	0
Superworm_MAG_0056	1.14E-03	1.17E-04	1.67E-04	0	3.34E-05	1.67E-04	0	0	0	0
Superworm_MAG_0057	0.439351352	0.395128226	1.259493822	25.3399044	0.154655067	0.744742796	0	0	0	0
Superworm_MAG_0058	3.472601424	5.50914595	8.270454341	77.96388486	0.507990882	37.08799067	0	0	0	0
Superworm_MAG_0059	22.75803798	5.470632269	13.65843521	34.26801158	39.75874994	8.527365989	0	0	0	0
Superworm_MAG_0060	0.006956493	2.11E-03	0.426613148	1.325429308	7.76E-04	7.231647077	0	0	0	0
Superworm_MAG_0061	34.20297021	2.979492776	1.687115064	1.680983562	0.064771571	0.260790829	0	0	0	0
Superworm_MAG_0062	26.08909346	4.654763149	3.580437934	1.330812778	1.351976785	1.421050515	0	0	0	0
Superworm_MAG_0063	9.206226917	7.614351474	1.443547092	13.42276155	0.764035275	3.916553696	0	0	0	0
Superworm_MAG_0064	0.01880045	0.019475883	2.61E-03	0.006400823	9.01E-04	1.93E-03	0	0	0	0
Superworm_MAG_0065	4.96897327	4.688190683	9.417941392	5.199619629	6.011482105	3.418086503	0	0	0	0
Superworm_MAG_0066	2.75E-03	0.130336458	0.003993741	0.005923165	4.59E-04	0.394045195	0	0	0	0
Superworm_MAG_0067	3.239076827	0.926715673	1.522168711	4.88661418	0.229376479	3.694824102	0	0	0	0
Superworm_MAG_0068	0.048799809	4.944492525	1.06E-03	0	2.54E-04	1.308311157	0	0	0	0
Superworm_MAG_0069	0.101198862	0.143132753	0.296223754	31.32364857	2.20E-03	0.02504722	0	0	0	0
Superworm_MAG_0070	0.044646374	0.018070754	0.038459529	3.23E-03	0.015148735	1.149394942	0	0	0	0
Superworm_MAG_0071	3.485367173	20.73521001	5.613370801	3.475253264	5.164319103	7.235585742	0	0	0	0
Superworm_MAG_0072	0.087238979	3.804376492	49.35934725	0.29570342	0.003917855	4.334695161	0	0	0	0
Superworm_MAG_0073	4.228009431	0.572509782	2.312360957	4.642911334	0.978943615	0.88691254	0	0	0	0
Superworm_MAG_0074	337.6927553	37.9465461	5.434302024	9.727303375	6.442367119	17.29352188	0	0	0	0
Superworm_MAG_0075	1.635585461	10.54875552	1.178396108	4.09437824	0.007474275	0.120994605	0	0	0	0
Superworm_MAG_0076	0.448574555	0.695606656	0.116330228	0.782083325	0.043238344	0.499985602	0	0	0	0
Superworm_MAG_0077	0.008509013	1.04E-03	1.66E-04	2.07E-03	7.67E-05	5.24E-04	0	0	0	0
Superworm_MAG_0078	1.04E-03	0.003855705	3.92E-05	0	0.007180272	0.024019513	0	0	0	0
Superworm_MAG_0079	0.011248035	1.027606288	1.28E-03	1.01E-03	2.54E-05	0.3341777	0	0	0	0
Superworm_MAG_0080	51.92286658	18.38247266	0.499757032	7.996135971	0.305266943	4.243632352	0	0	0	0
Superworm_MAG_0081	0.01420587	0.004272269	0.014374236	4.72E-03	3.79E-04	3.22E-03	0	0	0	0
Superworm_MAG_0082	0.137517529	0.055118351	0.66651462	2.381558627	0.019625473	0.353620468	0	0	0	0
Superworm_MAG_0083	109.742672	190.1424922	4.276974513	16.78879234	0.059775144	1.688573177	0	0	0	0
Superworm_MAG_0084	0.4081318	0.176800255	0.182769653	0.751568187	0.053540206	4.791330668	0	0	0	0
Superworm_MAG_0085	11.59743315	19.78340313	38.2884846	145.3898762	0.274626977	8.702350432	0	0	0	0
Superworm_MAG_0086	640.8410341	51.04011536	16.8451006	18.7611934	14.64061595	14.02551424	0	0	0	0
Superworm_MAG_0087	16.83054667	14.26493993	26.56738884	64.83236712	4.34951707	15.14509217	0	0	0	0
Superworm_MAG_0088	1.07E-03	2.22E-05	1.78E-04	0	8.90E-05	2.22E-05	0	0	0	0
Superworm_MAG_0089	8.383951448	2.171485419	0.545542319	9.05023199	0.038363374	3.43558801	0	0	0	0
Superworm_MAG_0090	46.71173803	20.64043617	5.656928387	23.68233636	1.840159894	5.373692975	0	0	0	0
Superworm_MAG_0091	17.94116698	8.484067552	4.121117573	12.37445402	0.113082218	2.165087913	0	0	0	0
Superworm_MAG_0092	34.26668345	7.235988869	12.66485756	35.76152578	8.105065094	9.153953884	0	0	0	0
Superworm_MAG_0093	34.57647667	6.748570692	221.0352928	174.6566987	724.9557371	222.3303335	0	0	0	0
Superworm_MAG_0094	2.12E-03	4.40E-04	0.030267625	0.026464179	4.79E-04	2.20E-03	0	0	0	0
Superworm_MAG_0095	13.37093473	14.08977457	1.123655923	23.2138427	4.191282792	13.77558575	0	0	0	0
Superworm_MAG_0096	0.014773149	1.01E-03	2.20242109	2.64E-04	2.39E-04	5.27E-04	0	0	0	0
Superworm_MAG_0097	0.079915178	0.018081821	0.347784283	2.328227065	0.034613757	0.085436574	0	0	0	0
Superworm_MAG_0098	0.458650527	0.267452788	0.958854403	17.11804568	0.099702094	0.783418307	0	0	0	0
Superworm_MAG_0099	11.63635989	7.33289956	6.853734843	65.7460555	3.859821729	5.732213464	0	0	0	0
Superworm_MAG_0100	25.97799259	1.168662024	3.120930839	2.014905052	0.297589173	0.227408435	0	0	0	0
Mealworm_MAG_0001	0	0	0	0	0	0	0	17.26579216	0.072648635	7.47E-05
Mealworm_MAG_0002	0	0	0	0	0	0	1.364884843	2.69E-04	0.024648037	2.15E-03
Mealworm_MAG_0003	0	0	0	0	0	0	0	1.27475019	0.095826617	4.27E-04
Mealworm_MAG_0004	0	0	0	0	0	0	31.84769218	333.8663578	23.08426062	32.68426777
Mealworm_MAG_0005	0	0	0	0	0	0	0.014464209	0.01863846	1.12E-03	0.031816399
Mealworm_MAG_0006	0	0	0	0	0	0	2.70204492	7.283098748	9.049557075	1.39E-03
Mealworm_MAG_0007	0	0	0	0	0	0	18.16639787	21.45335522	0.018453325	0.823375539
Mealworm_MAG_0008	0	0	0	0	0	0	2.612556504	0.553754766	0.187444609	1.129982881
Mealworm_MAG_0009	0	0	0	0	0	0	3.573671687	0.604863892	0.541255397	103.6368914
Mealworm_MAG_0010	0	0	0	0	0	0	0.574345337	0.484743446	0.00401802	1.088791295
Mealworm_MAG_0011	0	0	0	0	0	0	1.10E-04	0	8.20E-04	0
Mealworm_MAG_0012	0	0	0	0	0	0	0.213899708	0.088783382	0.008855569	0.201948094
Mealworm_MAG_0013	0	0	0	0	0	0	114.8223429	0.329323572	0.005986029	252.9727102
Mealworm_MAG_0014	0	0	0	0	0	0	633.3557165	133.035495	0.01183949	327.1437848
Mealworm_MAG_0015	0	0	0	0	0	0	3.908874776	0.062707929	2.010182238	14.53931319
Mealworm_MAG_0016	0	0	0	0	0	0	1.576789725	140.4866881	236.3765458	30.266611
Mealworm_MAG_0017	0	0	0	0	0	0	1.39E-04	173.9618115	0.818207853	0.020390673
Mealworm_MAG_0018	0	0	0	0	0	0	0.271885271	9.857060625	0.191428648	0.254987854
Mealworm_MAG_0019	0	0	0	0	0	0	0.84938082	1.482463172	0.007086381	0.559544791
Mealworm_MAG_0020	0	0	0	0	0	0	0.255783692	0.138957704	0.010547182	0.12322341
Mealworm_MAG_0021	0	0	0	0	0	0	3.400929729	0.825497135	0.036651561	28.59164426
Mealworm_MAG_0022	0	0	0	0	0	0	1.77E-03	0.11287448	5.625502671	0.839561823
Mealworm_MAG_0023	0	0	0	0	0	0	0	45.51878969	0.20372663	1.69E-03
Mealworm_MAG_0024	0	0	0	0	0	0	9.68E-04	7.38E-04	8.23E-04	5.96E-04
Mealworm_MAG_0025	0	0	0	0	0	0	5.28E-05	2.64E-05	0	0
Mealworm_MAG_0026	0	0	0	0	0	0	350.7624581	291.2257532	1.582849861	1169.331138
Mealworm_MAG_0027	0	0	0	0	0	0	23.83918978	48.82805437	2.920772928	25.77060485
Mealworm_MAG_0028	0	0	0	0	0	0	0.142673735	0.073449505	1.39E-03	0.082498022
Mealworm_MAG_0029	0	0	0	0	0	0	0.055842836	0.038062787	0.004275547	0.03472577
Mealworm_MAG_0030	0	0	0	0	0	0	7.85E-05	3.94E-05	5.13E-04	1.57E-04
Mealworm_MAG_0031	0	0	0	0	0	0	3.874870889	10.216707	505.9102435	12.9563171
Mealworm_MAG_0032	0	0	0	0	0	0	0.176020167	0.09551448	1.311492346	0.018516742
Mealworm_MAG_0033	0	0	0	0	0	0	69.01014816	97.04601762	0.00404568	2.907117948
Mealworm_MAG_0034	0	0	0	0	0	0	17.24108821	152.910142	2.4135044	2.51E-04
Mealworm_MAG_0035	0	0	0	0	0	0	0.034422086	17.98449305	29.87298418	0.161075577
Mealworm_MAG_0036	0	0	0	0	0	0	116.822598	82.25976735	0.473723689	60.68221711
Mealworm_MAG_0037	0	0	0	0	0	0	66.31385327	0.662814459	0.001746871	28.68753758
Mealworm_MAG_0038	0	0	0	0	0	0	0.144251215	0.149308547	0.049985147	0.092090302
Mealworm_MAG_0039	0	0	0	0	0	0	2.85E-03	0.233922413	22.22911006	1.715863073
Mealworm_MAG_0040	0	0	0	0	0	0	0.069094142	0.074091228	0.003190446	0.021718037
Mealworm_MAG_0041	0	0	0	0	0	0	4.44E-05	15.82717628	0.345977468	4.22E-04
Mealworm_MAG_0042	0	0	0	0	0	0	0.099346782	0.047702166	0.00237421	0.5282959
Mealworm_MAG_0043	0	0	0	0	0	0	16.26779075	12.99589682	0.00294084	6.827323192
Mealworm_MAG_0044	0	0	0	0	0	0	0.285934324	0.047801436	6.45E-04	0.144845807
Mealworm_MAG_0045	0	0	0	0	0	0	58.45056855	20.58422047	0.008538669	0.307589227
Mealworm_MAG_0046	0	0	0	0	0	0	0	0	3.93E-05	3.93E-05
Mealworm_MAG_0047	0	0	0	0	0	0	0.058072111	1.213118749	110.4638925	0.201447215
Mealworm_MAG_0048	0	0	0	0	0	0	219.3426285	585.5305603	1.852611897	173.3904833
Mealworm_MAG_0049	0	0	0	0	0	0	1.057753384	2.21234034	0.023491574	21.32536216
Mealworm_MAG_0050	0	0	0	0	0	0	0.845139189	1.392434679	0.275365518	0.079376961
Mealworm_MAG_0051	0	0	0	0	0	0	216.9838393	1.856550259	0.006458949	4.017880121
Mealworm_MAG_0052	0	0	0	0	0	0	2.47E-03	3.48E-05	60.92295529	2.44E-04
Mealworm_MAG_0053	0	0	0	0	0	0	1.59E-04	49.60355079	0.837219623	3.85E-03
